Code,Name,Category
391111000,Negative reversibility test to salbutamol,COPD
767906009,Post bronchodilator spirometry,COPD
87433001,Pulmonary emphysema,COPD
21495411000001107,Seebri Breezhaler 44microgram inhalation powder capsules with device (Novartis Pharmaceuticals UK Ltd),COPD
3188311000001102,Seretide 500 Accuhaler (GlaxoSmithKline UK Ltd),COPD
313299006,Severe chronic obstructive pulmonary disease,COPD
204991000000107,Suspected chronic obstructive pulmonary disease,COPD
473202005,Optimisation of medication for chronic obstructive pulmonary disease,COPD
195951007,Acute exacerbation of chronic obstructive airways disease,COPD - worsening
723245007,Number of chronic obstructive pulmonary disease exacerbations in past year,COPD - worsening
38893611000001108,Aclidinium bromide 375micrograms/dose dry powder inhaler,COPD medication
2.8365E+16,Aclidinium bromide 396micrograms/dose / Formoterol 11.8micrograms/dose dry powder inhaler,COPD medication
9516911000001109,AeroChamber Plus (Trudell Medical UK Ltd),COPD medication
24644611000001108,Anoro Ellipta 55micrograms/dose / 22micrograms/dose dry powder inhaler (GlaxoSmithKline UK Ltd),COPD medication
3.35949E+16,Braltus 10microgram inhalation powder capsules with Zonda inhaler (Teva UK Ltd),COPD medication - bronchodilator
9205211000001104,Easyhaler Salbutamol sulfate 100micrograms/dose dry powder inhaler (Orion Pharma (UK) Ltd),COPD medication - bronchodilator
3215311000001107,Salamol 100micrograms/dose Easi-Breathe inhaler (Teva UK Ltd),COPD medication - bronchodilator
106511000001103,Salamol 100micrograms/dose inhaler CFC free (Teva UK Ltd),COPD medication - bronchodilator
20985511000001101,Eklira 322micrograms/dose Genuair (Covis Pharma GmbH),COPD medication - LAMA
21496211000001102,Glycopyrronium bromide 55microgram inhalation powder capsules with device,COPD medication - LAMA
3380011000001106,Spiriva 18microgram inhalation powder capsules (Boehringer Ingelheim Ltd),COPD medication - LAMA
3378211000001106,Spiriva 18microgram inhalation powder capsules with HandiHaler (Boehringer Ingelheim Ltd),COPD medication - LAMA
12146911000001103,Spiriva Respimat 2.5micrograms/dose inhalation solution cartridge with device (Boehringer Ingelheim Ltd),COPD medication - LAMA
37677711000001102,Spiriva Respimat 2.5micrograms/dose inhalation solution refill cartridge (Boehringer Ingelheim Ltd),COPD medication - LAMA
33596311000001107,Tiotropium bromide 10microgram inhalation powder capsules with device,COPD medication - LAMA
9478911000001107,Tiotropium bromide 18microgram inhalation powder capsules,COPD medication - LAMA
9479011000001103,Tiotropium bromide 18microgram inhalation powder capsules with device,COPD medication - LAMA
12197411000001102,Tiotropium bromide 2.5micrograms/dose solution for inhalation cartridge with device CFC free,COPD medication - LAMA
2.99713E+16,Spiolto Respimat 2.5micrograms/dose / 2.5micrograms/dose inhalation solution cartridge with device (Boehringer Ingelheim Ltd),COPD medication - LAMA/LABA
37678011000001103,Spiolto Respimat 2.5micrograms/dose / 2.5micrograms/dose inhalation solution refill cartridge (Boehringer Ingelheim Ltd),COPD medication - LAMA/LABA
28007211000001102,Ultibro Breezhaler 85microgram/43microgram inhalation powder capsules with device (Novartis Pharmaceuticals UK Ltd),COPD medication - LAMA/LABA
24645511000001105,Umeclidinium bromide 65micrograms/dose / Vilanterol 22micrograms/dose dry powder inhaler,COPD medication - LAMA/LABA
