TERM,MED_CODE_ID,MEDIAN_EVENT_AGE,N_PATIENT_COUNT,N_PATIENT_COUNT_TOTAL,PREVALENCE,TOTAL_PRESCRIPTIONS,AVG_PRESCRIPTIONS_PER_PATIENT,AVG_DURATION,MEDIAN_DURATION,STD_DURATION
Tabphyn MR 400microgram capsules (Genus Pharmaceuticals Ltd),10186811000001105,69.000,98,207367,0.000473,187,1.91,9.941176,0.000,19.986064095
Salatac gel (Dermal Laboratories Ltd),3407611000001108,69.000,98,207367,0.000473,105,1.07,17.523810,28.000,13.690321691
Airomir 100micrograms/dose Autohaler (Teva UK Ltd),3214311000001108,69.000,97,207367,0.000468,153,1.58,9.313725,0.000,13.355695901
Chlorhexidine gluconate 4% solution,41738111000001108,69.000,97,207367,0.000468,109,1.12,25.908257,28.000,8.516369062
Clindamycin 150mg capsules,41946611000001108,69.000,97,207367,0.000468,126,1.3,13.269841,7.000,14.33954682
Monopost 50micrograms/ml eye drops 0.2ml unit dose (Thea Pharmaceuticals Ltd),21873811000001109,69.000,97,207367,0.000468,119,1.23,28.058824,28.000,10.594445384
HiBiScrub 4% solution (Molnlycke Health Care Ltd),3400211000001107,69.000,97,207367,0.000468,113,1.16,25.504425,28.000,23.659083076
Levocetirizine 5mg tablets,42192511000001103,69.000,97,207367,0.000468,125,1.29,23.408000,28.000,18.419439242
Diclofenac 100mg suppositories,42101311000001103,69.000,97,207367,0.000468,120,1.24,18.908333,28.000,12.080956502
ActivHeal Foam Adhesive dressing 10cm x 10cm square (Advanced Medical Solutions Ltd),7261011000001103,69.000,96,207367,0.000463,112,1.17,26.651786,28.000,5.771489149
Mebendazole 100mg chewable tablets sugar free,41791511000001100,69.000,96,207367,0.000463,104,1.08,19.269231,28.000,13.01174285
Acti-Glide compression hosiery applicator (L&R Medical UK Ltd),9760011000001107,69.000,96,207367,0.000463,98,1.02,23.826531,28.000,10.259544727
Acular 0.5% eye drops (AbbVie Ltd),3692911000001104,69.000,96,207367,0.000463,108,1.13,23.648148,28.000,10.924819404
Evorel Conti patches (Theramex HQ UK Ltd),3216611000001107,69.000,96,207367,0.000463,147,1.53,25.244898,28.000,16.708865611
Nebivolol 5mg tablets,39701211000001106,69.000,96,207367,0.000463,121,1.26,18.818182,28.000,18.879442073
Oxycodone 5mg/5ml oral solution sugar free,36131211000001102,69.000,96,207367,0.000463,132,1.38,25.765152,28.000,10.460291965
Olanzapine 2.5mg tablets,42275711000001108,69.000,96,207367,0.000463,134,1.4,18.537313,28.000,14.117475305
White Soft Paraffin And Liquid Paraffin Light  Cream (Pump Dispenser)  13.2 % + 10.5 %,,69.000,96,207367,0.000463,120,1.25,19.441667,0.000,42.158523527
Diftavax vaccine suspension for injection 0.5ml pre-filled syringes (sanofi pasteur MSD Ltd),2984011000001101,69.000,96,207367,0.000463,97,1.01,8.690722,0.000,14.934133755
Qvar 100 Autohaler (Teva UK Ltd),3177711000001108,69.000,95,207367,0.000458,138,1.45,12.586957,0.000,21.298273897
Flecainide 100mg tablets,42210311000001108,69.000,95,207367,0.000458,132,1.39,18.719697,12.500,35.400503386
Asacol 400mg MR gastro-resistant tablets (AbbVie Ltd),383111000001106,69.000,95,207367,0.000458,139,1.46,16.503597,0.000,21.912663964
Venlafaxine 75mg modified-release tablets,14985011000001107,69.000,95,207367,0.000458,132,1.39,18.303030,28.000,15.225500616
Allevyn Adhesive dressing 7.5cm x 7.5cm square (Smith & Nephew Healthcare Ltd),435411000001102,69.000,94,207367,0.000453,110,1.17,17.954545,28.000,14.311339176
Folic acid 400microgram tablets,41985411000001106,69.000,93,207367,0.000448,116,1.25,55.594828,56.000,42.018004105
Gabapentin 600mg tablets,42129911000001106,69.000,93,207367,0.000448,126,1.35,18.365079,28.000,15.387061155
Methenamine hippurate 1g tablets,41951711000001108,69.000,93,207367,0.000448,102,1.1,31.137255,30.000,9.859447094
Alfacalcidol 250nanogram capsules,41980311000001106,69.000,93,207367,0.000448,126,1.35,22.317460,28.000,17.888387658
Butec 10micrograms/hour transdermal patches (Qdem Pharmaceuticals Ltd),31278911000001104,69.000,93,207367,0.000448,119,1.28,22.588235,28.000,11.884623132
Cyanocobalamin 1mg tablets,21366111000001101,69.000,92,207367,0.000444,108,1.17,33.333333,28.000,17.829409693
Spironolactone 50mg tablets,42216611000001101,69.000,92,207367,0.000444,127,1.38,22.472441,28.000,13.383730198
Amlostin 10mg tablets (Discovery Pharmaceuticals),8046411000001106,69.000,92,207367,0.000444,194,2.11,6.494845,0.000,13.148907027
Valsartan 40mg capsules,42384411000001100,69.000,92,207367,0.000444,137,1.49,25.233577,28.000,70.973717459
Ethilon suture 2gauge 45cm length with 26mm curved reverse cutting needle W320 Blue (Ethicon Ltd),6000211000001109,69.000,92,207367,0.000444,95,1.03,17.442105,28.000,14.042273391
Lidocaine 5% / Hydrocortisone acetate 0.275% ointment,3486311000001100,69.000,91,207367,0.000439,114,1.25,17.412281,28.000,15.273211777
Adcal-D3 Dissolve 1500mg/400unit effervescent tablets (Kyowa Kirin International UK NewCo Ltd),13398611000001101,69.000,91,207367,0.000439,120,1.32,15.241667,28.000,15.326143872
Buccastem 3mg tablets (Alliance Pharmaceuticals Ltd),920911000001101,69.000,91,207367,0.000439,99,1.09,8.505051,0.000,13.114389768
Desunin 800unit tablets (Viatris UK Healthcare Ltd),21215611000001107,69.000,91,207367,0.000439,107,1.18,34.803738,28.000,18.26814903
Allevyn Gentle Border dressing 7.5cm x 7.5cm (Smith & Nephew Healthcare Ltd),13088411000001102,69.000,91,207367,0.000439,120,1.32,26.108333,28.000,7.007553924
Hyabak 0.15% eye drops preservative free (Thea Pharmaceuticals Ltd),14936811000001103,69.000,91,207367,0.000439,121,1.33,22.000000,28.000,12.638565306
Colpermin IBS Relief gastro-resistant modified-release capsules (McNeil Products Ltd),3162011000001100,69.000,91,207367,0.000439,120,1.32,43.150000,28.000,252.560422923
Fybogel 3.5g effervescent granules sachets plain SF (Reckitt Benckiser Healthcare (UK) Ltd),3254111000001103,69.000,91,207367,0.000439,124,1.36,10.790323,0.000,13.61089604
Evorel 50 patches (Theramex HQ UK Ltd),2942311000001102,69.000,91,207367,0.000439,148,1.63,30.020270,28.000,90.473769613
Sharpsafe disposal unit 4litre Yellow (Vernacare International Ltd),33042711000001102,69.000,91,207367,0.000439,117,1.29,28.487179,28.000,14.682041207
Salivix pastilles (Galen Ltd),173211000001101,69.000,90,207367,0.000434,109,1.21,24.678899,28.000,35.045177386
Fobumix Easyhaler 160micrograms/dose / 4.5micrograms/dose dry powder inhaler (Orion Pharma (UK) Ltd),34950311000001108,69.000,90,207367,0.000434,100,1.11,70.450000,28.000,334.03509085
Ensure Compact liquid (Flavour Not Specified),23583911000001102,69.000,90,207367,0.000434,112,1.24,26.598214,28.000,8.650844699
Telmisartan 40mg tablets,42383011000001107,69.000,90,207367,0.000434,130,1.44,20.846154,28.000,27.860800599
Cyanocobalamin 1mg modified-release tablets,7902511000001100,69.000,89,207367,0.000429,101,1.13,44.524752,28.000,51.71200906
Ispaghula Husk  Sachets (orange)  3.5 g/sachet,,69.000,89,207367,0.000429,97,1.09,18.268041,28.000,17.880107354
Acidex Advance oral suspension peppermint (Wockhardt UK Ltd),33495711000001105,69.000,89,207367,0.000429,101,1.13,27.851485,28.000,1.492555862
Topiramate 25mg tablets,42137611000001107,69.000,89,207367,0.000429,112,1.26,22.607143,28.000,15.858812408
Eklira 322micrograms/dose Genuair (Covis Pharma GmbH),20985511000001101,69.000,89,207367,0.000429,109,1.22,41.513761,30.000,170.587851522
FreeStyle testing strips (Abbott Laboratories Ltd),7590511000001108,69.000,88,207367,0.000424,111,1.26,18.666667,28.000,13.656389347
Slozem 120mg capsules (Zentiva Pharma UK Ltd),130211000001109,69.000,88,207367,0.000424,119,1.35,29.815126,28.000,112.421646265
Sodium chloride 0.9% irrigation solution 20ml unit dose,39712211000001102,69.000,88,207367,0.000424,141,1.6,24.794326,28.000,9.907801926
Allevyn Gentle Border dressing 10cm x 10cm (Smith & Nephew Healthcare Ltd),13088611000001104,69.000,88,207367,0.000424,105,1.19,26.695238,28.000,6.286621668
Co-trimoxazole 160mg/800mg tablets,41947311000001100,69.000,88,207367,0.000424,108,1.23,11.009259,7.000,8.80685307
Olmesartan medoxomil 10mg tablets,42378111000001108,69.000,88,207367,0.000424,117,1.33,14.393162,0.000,15.572387839
Tadalafil 5mg tablets,42090211000001107,69.000,88,207367,0.000424,117,1.33,25.094017,28.000,29.178695259
Donepezil 10mg tablets,42035511000001105,69.000,88,207367,0.000424,115,1.31,23.286957,28.000,17.166248629
Seretide 50 Evohaler (GlaxoSmithKline UK Ltd),453611000001102,69.000,87,207367,0.00042,133,1.53,16.157895,28.000,16.456942031
CareSens PRO testing strips (Spirit Healthcare Ltd),33563311000001100,69.000,87,207367,0.00042,101,1.16,23.841584,28.000,10.006730385
Easyhaler Salbutamol sulfate 200micrograms/dose dry powder inhaler (Orion Pharma (UK) Ltd),9204911000001109,69.000,87,207367,0.00042,107,1.23,30.121495,28.000,18.980481685
Tetracycline 250mg tablets,39704811000001109,70.000,87,207367,0.00042,97,1.11,13.494845,7.000,10.779150106
Carmellose Sodium  Eye-drops (unit dose)  0.5 %,,69.000,87,207367,0.00042,111,1.28,12.207207,0.000,23.202318505
Beclometasone 200micrograms/dose inhaler,35908511000001101,69.000,87,207367,0.00042,123,1.41,10.528455,0.000,38.64430592
Oilatum Plus bath additive (Thornton & Ross Ltd),355611000001107,69.000,87,207367,0.00042,117,1.34,23.829060,28.000,46.477708894
Spiolto Respimat 2.5micrograms/dose / 2.5micrograms/dose inhalation solution cartridge with device (Boehringer Ingelheim Ltd),29971311000001100,69.000,87,207367,0.00042,106,1.22,24.943396,28.000,9.763713382
Choline salicylate 8.7% oromucosal gel sugar free,41738211000001102,69.000,86,207367,0.000415,102,1.19,19.254902,28.000,13.036647729
Diltiazem 60mg modified-release tablets,39023811000001101,69.000,86,207367,0.000415,112,1.3,21.901786,28.000,14.123623968
"Fultium-D3 3,200unit capsules (Internis Pharmaceuticals Ltd)",24469411000001103,69.000,86,207367,0.000415,97,1.13,30.876289,28.000,15.571914975
Sulfasalazine 500mg tablets,42298211000001101,69.000,86,207367,0.000415,120,1.4,17.591667,28.000,16.466158751
Pregabalin 300mg capsules,42135511000001104,69.000,86,207367,0.000415,124,1.44,18.354839,28.000,14.992786099
Pramipexole 88microgram tablets,42039711000001103,69.000,86,207367,0.000415,111,1.29,19.792793,28.000,13.356725984
Aqueous calamine cream,14608711000001102,69.000,86,207367,0.000415,99,1.15,23.585859,28.000,35.960298428
Evolve HA 0.2% eye drops preservative free (Medicom Healthcare Ltd),32567411000001106,69.000,86,207367,0.000415,111,1.29,27.450450,28.000,5.260035836
Onetouch Delica  Lancets  0.32 mm/30 gauge,,69.000,86,207367,0.000415,100,1.16,28.020000,28.000,0.2
Flip-Flo sterile catheter valve BFF5 (Bard Ltd),6437311000001103,69.000,86,207367,0.000415,117,1.36,-292.991453,28.000,3416.87665782
Kolanticon gel (Esteve Pharmaceuticals Ltd),3174311000001100,69.000,86,207367,0.000415,108,1.26,35.407407,28.000,166.535339745
Didronel PMO tablets (Warner Chilcott UK Ltd),3352411000001105,69.000,86,207367,0.000415,123,1.43,13.723577,0.000,86.329933337
Enalapril 2.5mg tablets,42374111000001102,69.000,85,207367,0.00041,126,1.48,24.801587,24.500,98.078419222
Prosys single use non-sterile drainable night drainage bag PSU2 2litre (Clinisupplies Ltd),11432911000001101,70.000,85,207367,0.00041,124,1.46,25.838710,28.000,7.437967935
Vardenafil 20mg tablets,39706711000001105,69.000,85,207367,0.00041,164,1.93,12.585366,4.000,13.586307813
Dexamethasone 0.1% eye drops 0.4ml unit dose preservative free,23560011000001109,69.000,85,207367,0.00041,101,1.19,26.099010,28.000,7.163106798
Moxonidine 200microgram tablets,42214311000001100,69.000,85,207367,0.00041,129,1.52,18.271318,28.000,17.900659876
Polytar liquid (Haleon UK Trading Ltd),137911000001104,69.000,85,207367,0.00041,105,1.24,17.704762,0.000,54.863453546
Ibuprofen 5% spray,42105111000001103,69.000,85,207367,0.00041,120,1.41,24.750000,28.000,15.246572828
Cetraben ointment (Thornton & Ross Ltd),27967611000001100,69.000,85,207367,0.00041,110,1.29,24.690909,28.000,9.840699467
Metrogel 0.75% gel (Galderma (UK) Ltd),2925211000001102,69.000,85,207367,0.00041,93,1.09,13.397849,0.000,14.543891432
Unguentum M cream (Almirall Ltd),3488411000001108,69.000,85,207367,0.00041,104,1.22,48.000000,28.000,287.504461764
Fucidin 20mg/g ointment (LEO Pharma),516611000001105,69.000,84,207367,0.000405,94,1.12,15.500000,21.500,14.292452344
Irriclens sodium chloride 0.9% irrigation solution aerosol spray (ConvaTec Ltd),3498811000001109,69.000,84,207367,0.000405,87,1.04,16.137931,28.000,14.356080001
"Ring pessary 1.25cm thick, 77mm diameter, PVC",3442211000001104,69.000,84,207367,0.000405,114,1.36,21.991228,28.000,18.981358171
Amlodipine Besilate  Tablets  10 mg,,69.000,84,207367,0.000405,85,1.01,25.529412,28.000,22.476224594
Tubigrip Elasticated Support Bandage  Stockinette  7.5 cm x 1 m (d),,69.000,84,207367,0.000405,93,1.11,16.268817,28.000,14.332343912
Biatain Silicone dressing 10cm x 10cm (Coloplast Ltd),27964311000001101,70.000,84,207367,0.000405,101,1.2,27.267327,28.000,4.171069647
Unistik 3 Comfort lancets 1.8mm/28gauge (Owen Mumford Ltd),11258411000001106,69.000,84,207367,0.000405,118,1.4,26.474576,28.000,11.981974962
Olanzapine 5mg tablets,42276111000001101,69.000,84,207367,0.000405,129,1.54,17.852713,28.000,18.227769337
Salactol paint (Dermal Laboratories Ltd),3603211000001104,69.000,84,207367,0.000405,90,1.07,18.788889,28.000,14.110713483
Diclofenac sodium 100mg modified-release tablets,36563711000001106,69.000,84,207367,0.000405,161,1.92,-201.378882,28.000,2778.416556566
Flaminal Forte gel dressing (Flen Health UK Ltd),10708311000001106,69.000,84,207367,0.000405,103,1.23,26.815534,28.000,9.462772849
Ispaghula Husk  Sachets  3.5 g/sachet,,69.000,84,207367,0.000405,91,1.08,22.428571,28.000,24.234109495
Nasofan 50micrograms/dose aqueous nasal spray (Teva UK Ltd),9310711000001107,69.000,83,207367,0.0004,105,1.27,28.523810,28.000,21.521051972
Nicotine 15mg/16hours transdermal patches,36566311000001103,69.000,83,207367,0.0004,103,1.24,15.174757,14.000,11.748531142
Betamethasone dipropionate 0.05% / Salicylic acid 3% ointment,41892111000001102,69.000,83,207367,0.0004,107,1.29,22.355140,28.000,12.881354315
Ofloxacin 0.3% eye drops,42193411000001106,69.000,83,207367,0.0004,98,1.18,18.255102,28.000,13.391265997
Glimepiride 4mg tablets,42083311000001106,69.000,83,207367,0.0004,130,1.57,10.207692,0.000,17.88494501
"Simpla Profile sterile leg bag 21574 500ml bag, 25cm tube (Coloplast Ltd)",11364711000001105,69.000,83,207367,0.0004,128,1.54,27.578125,28.000,3.492645559
Isomol  Gel,,69.000,83,207367,0.0004,102,1.23,27.450980,28.000,3.901326185
Sodium chloride 0.9% irrigation solution 20ml Steripod unit dose (Molnlycke Health Care Ltd),3496611000001109,69.000,82,207367,0.000395,96,1.17,15.750000,28.000,15.369826902
Qvar 100micrograms/dose Easi-Breathe inhaler (Teva UK Ltd),8159711000001102,69.000,82,207367,0.000395,100,1.22,33.270000,28.000,47.755872236
Alginate raft-forming oral suspension sugar free,3402111000001102,69.000,82,207367,0.000395,106,1.29,25.198113,28.000,9.773062877
Ondansetron 4mg tablets,42038611000001103,69.000,82,207367,0.000395,98,1.2,26.683673,28.000,5.27315105
Latanoprost 50micrograms/ml / Timolol 5mg/ml eye drops,42192111000001107,69.000,82,207367,0.000395,105,1.28,19.904762,28.000,27.833475906
ReplensMD vaginal moisturiser unit dose (Church & Dwight UK Ltd),9354011000001109,69.000,82,207367,0.000395,100,1.22,18.760000,28.000,13.232283741
Macrobid 100mg modified-release capsules (Advanz Pharma),517311000001102,69.000,82,207367,0.000395,103,1.26,6.203883,3.000,9.469620373
Povidone-Iodine fabric dressing sterile 9.5cm x 9.5cm,3440711000001107,69.000,82,207367,0.000395,105,1.28,26.409524,28.000,7.582488971
Sodium bicarbonate 500mg capsules,41988711000001107,69.000,82,207367,0.000395,113,1.38,22.336283,28.000,14.550166047
Instant testing strips (Roche Diabetes Care Ltd),39452011000001105,69.000,82,207367,0.000395,100,1.22,28.840000,28.000,6.235642068
Viscotears 2mg/g eye gel 0.6ml unit dose (Bausch & Lomb UK Ltd),3154811000001107,69.000,82,207367,0.000395,107,1.3,19.429907,28.000,13.53061669
Nicotine 15mg inhalation cartridges with device,19482211000001108,69.000,82,207367,0.000395,114,1.39,24.736842,28.000,8.486379145
Duaklir 340micrograms/dose / 12micrograms/dose Genuair (Covis Pharma GmbH),28357211000001106,70.000,81,207367,0.000391,91,1.12,33.230769,30.000,14.150835806
Sumatriptan 100mg tablets,42111811000001105,69.000,81,207367,0.000391,149,1.84,18.436242,28.000,29.735392094
Evorel 25 patches (Theramex HQ UK Ltd),2889111000001107,69.000,81,207367,0.000391,108,1.33,24.648148,28.000,15.657141214
Glyceryl trinitrate 500microgram sublingual tablets,42211111000001100,69.000,81,207367,0.000391,99,1.22,43.121212,28.000,270.006359438
Gastrocote chewable tablets (Actavis UK Ltd),3190911000001102,69.000,81,207367,0.000391,118,1.46,11.220339,0.000,15.63041938
Opticrom Aqueous 2% eye drops (Thornton & Ross Ltd),327511000001100,69.000,81,207367,0.000391,91,1.12,15.329670,28.000,13.647185241
"Influenza vaccine (surface antigen, inactivated, virosome) suspension for injection 0.5ml pre-filled syringes",10309511000001105,69.000,81,207367,0.000391,83,1.02,5.590361,1.000,10.59801656
Sulfadiazine silver 1% cream,15374811000001105,69.000,81,207367,0.000391,88,1.09,24.715909,28.000,13.129723112
Pseudoephedrine 30mg/5ml oral solution,35933511000001100,69.000,81,207367,0.000391,94,1.16,16.457447,28.000,13.321229635
Bricanyl 500micrograms/dose Turbohaler (AstraZeneca UK Ltd),3218311000001103,69.000,81,207367,0.000391,99,1.22,23.505051,28.000,41.166752422
"SunVit-D3 20,000unit tablets (SunVit-D3 Ltd)",22523511000001107,69.000,81,207367,0.000391,83,1.02,39.409639,28.000,38.469511577
Levetiracetam 500mg tablets,42131311000001108,69.000,81,207367,0.000391,95,1.17,26.663158,28.000,15.014610285
Calmurid cream (Galderma (UK) Ltd),2900811000001101,69.000,81,207367,0.000391,104,1.28,13.673077,0.000,15.121798273
Gynest 0.01% cream with applicator (Marlborough Pharmaceuticals Ltd),3194611000001101,69.000,81,207367,0.000391,101,1.25,6.524752,0.000,12.129793114
Bonjela Original gel (Reckitt Benckiser Healthcare (UK) Ltd),430511000001108,69.000,80,207367,0.000386,90,1.13,23.000000,28.000,11.539867374
Diclofenac sodium 75mg gastro-resistant modified-release capsules,42102111000001105,70.000,80,207367,0.000386,122,1.53,22.786885,28.000,17.074571268
Sterimar 75% hypertonic nasal spray (Church & Dwight UK Ltd),15413111000001104,69.000,80,207367,0.000386,96,1.2,20.572917,28.000,13.527939754
Amoxicillin 250mg/5ml oral suspension,41941111000001109,69.000,80,207367,0.000386,100,1.25,12.040000,7.000,10.562866136
