CODE,EVENT_TYPE,CATEGORY,TERM,combined_score,combined_rank,code_tier,category_model_tier
59328004,observation,LAB_SPIRO_VOLUMES,Forced expired volume in 1 second,0.0168561790791705,1785.0,LOW,LOW
1201005,observation,COMORBID_HTN,Benign essential hypertension,0.0162003632469462,1809.0,LOW,LOW
134432000,observation,LAB_SPIRO_FLOW,Recorded/predicted peak expiratory flow rate ratio,0.0160196816823749,1818.0,LOW,MEDIUM
111566002,observation,COMORBID_HYPOTHYROID,Other acquired hypothyroidism,0.015573472255748,1838.0,LOW,LOW
161641009,observation,COMORBID_DM,At risk of diabetes mellitus,0.0152238087864017,1848.0,LOW,LOW
52441000,observation,REPRO_ATROPHIC_VAG,Senile (atrophic) vaginitis,0.0145303635157394,1866.0,LOW,LOW
266895004,observation,COMORBID_CVD_FH_IHD_LT60,FH: Ischaemic heart disease at less than 60 years,0.0134449710666344,1912.0,LOW,LOW
170658009,observation,COMORBID_ASTHMA,Asthma never restricts exercise,0.0131990897765805,1926.0,LOW,MEDIUM
182728008,observation,COMORBID_ASTHMA_CONTROL,Asthma control step 2,0.0131088111474188,1932.0,LOW,LOW
182729000,observation,COMORBID_ASTHMA_CONTROL,Asthma control step 3,0.0127560128055261,1943.0,LOW,LOW
170662003,observation,COMORBID_ASTHMA,Using inhaled steroids - high dose,0.012664876085152,1945.0,LOW,MEDIUM
50834005,observation,LAB_SPIRO_VOLUMES,Forced vital capacity,0.0125757858098569,1951.0,LOW,LOW
170660006,observation,COMORBID_ASTHMA,Not using inhaled steroids,0.0125601195321445,1952.0,LOW,MEDIUM
42297111000001106,medication,OC,Norethisterone 5mg tablets,0.01018903912793,2027.0,LOW,MEDIUM
170804003,observation,LIFE_BMI,Ideal body weight,0.0097936824625572,2043.0,LOW,STRONG
1016851000000107,observation,LAB_TFT_TEST,Thyroid function test,0.0096781295859917,2048.0,LOW,MEDIUM
18491006,observation,LAB_SPIRO_FLOW,Peak expiratory flow rate,0.0096406445613303,2049.0,LOW,MEDIUM
16208003,observation,LIFE_DIET,Low fat diet,0.008827688591665,2069.0,LOW,MEDIUM
